neg_words,value
due,-16.67285178773296
howsoever,-16.646373453616405
learned,-16.639418565580737
dang,-16.598977912930163
musicthe,-16.57964703606804
baffled,-16.5521992796988
bruised,-16.490373531313505
disabled,-16.451766119703514
drain,-16.442694925839792
greatthanks,-16.365442196615067
ecosystem,-16.360512935887893
feeds됛ove,-16.32732191558258
duration,-16.312643928824535
advice,-16.261583977537807
palms,-16.24113751550567
deari,-16.234649348726528
foreign,-16.208906880849288
bbmcontacts,-16.179143673131115
arguably,-16.174415985779845
choicea,-16.136294394420137
affects,-16.132806086037313
flawsif,-16.129519712428607
calculator,-16.12341181778719
gingerbread,-16.120303545212476
brights,-16.101672039388806
compleat,-16.09569272094814
datawould,-16.086851895903877
disappointingi,-16.071056189630767
requires,-16.049733072351426
processors,-16.042133835785666
blurry,-16.021976218019056
intense,-16.01726697603242
backand,-15.959938565975254
momuse,-15.95377734895414
reasons,-15.944329562443357
intermittently,-15.906368947662536
sleevecamera,-15.855735786511858
deliverydate,-15.852148737270861
frontthe,-15.846355520483106
submit,-15.803804201419474
moneythe,-15.796572600341964
nova,-15.760096139747185
entered,-15.754044968430586
riddled,-15.751815627621118
button,-15.741371137435944
phonealmost,-15.715406113422562
expectationswhen,-15.704875162207378
limitation,-15.696172166871358
green,-15.677295086707934
complex,-15.674727865137344
ideas,-15.653201372099169
happeni,-15.64877968930694
expansive,-15.644662217888577
dated,-15.62112168466963
saidwe,-15.601330443497629
scuff,-15.579002375984961
grade,-15.574096248897131
thisupdate,-15.568744392086364
itll,-15.568511568840663
extent,-15.564139087263241
blink,-15.545617523474563
colour,-15.521482383841873
moral,-15.48231856411725
awfulthey,-15.46730850161458
abuse,-15.45189575640286
craze,-15.446795739344017
cutter,-15.43460467411684
droped,-15.431918382065417
shortcuts,-15.430415681467599
felt,-15.388431134588352
baterry,-15.376541679306053
reps,-15.358378906464454
typical,-15.325470636451815
funnyin,-15.322045535537764
cash,-15.304535500624251
advertise,-15.270990213717981
kiddingtakes,-15.218354435797186
cheated,-15.165361659000691
magnify,-15.139495765779117
thatis,-15.135777887835246
applied,-15.134791758294426
themall,-15.11823111968425
emergencyi,-15.112195855416012
seek,-15.093752230554529
firmly,-15.055387394737226
duo,-15.035413114184319
keying,-15.02663653203783
objects,-15.01617693059018
featuresimpressions,-15.007293807653763
chargedall,-15.006599232985664
mile,-15.00471006522873
entertainment,-15.001420971147837
parking,-14.970367903782265
offers,-14.956170223029318
workable,-14.955474584712713
thickest,-14.952807531886602
pocketcloud,-14.940594079943116
simultaneously,-14.939276196004599
artwork,-14.916372923895826
dearly,-14.899231604178144
hog,-14.886140789927575
puffin,-14.871163102165934
conversationnokia,-14.866503616261827
easein,-14.849311323243784
insidei,-14.825537644923891
threatening,-14.81416116074073
beginners,-14.791774443393043
trails,-14.777494908607803
microsoft,-14.749413142186118
backplease,-14.746641782676495
aware,-14.736813948594733
responsiveno,-14.724992217539445
wires,-14.684570291611994
bars,-14.662050368957255
australian,-14.654945598802305
attention,-14.653882686801403
ant,-14.610662535087643
reproducing,-14.595812480903977
recessed,-14.576932735776289
broke,-14.561023834948415
colored,-14.552308576667246
cuando,-14.547744803651243
donethis,-14.547445347176016
indian,-14.52874362178285
textwithwithout,-14.458281701331586
elegance,-14.439890510387986
europeans,-14.436090849854684
manualtouch,-14.43330198104089
basis,-14.432163561915884
productneedless,-14.414410293837062
renewal,-14.40741681441108
brighter,-14.392017029562904
rushed,-14.381885231066033
jack,-14.364473887698715
ice,-14.317424127946088
august,-14.312215551085934
onarrgggghhhhhh,-14.295666161283199
angola,-14.242984631292256
press,-14.197949814110395
terrified,-14.172644323655266
disks,-14.15726229366938
moderately,-14.154771119728034
themhouse,-14.146984513894884
hung,-14.121736758455034
macbook,-14.106248218259294
preownedi,-14.047502169850475
tools,-14.027810518542397
optimistic,-14.004799973569607
covers,-14.000044457484456
othet,-13.98401826845718
african,-13.978996249059074
ironic,-13.903617015146612
glitch,-13.896392125367603
bugs,-13.88200516975249
producing,-13.860808977996
benow,-13.860758156814907
concepto,-13.857162778029192
slogan,-13.854712864158738
itworks,-13.851933635479709
hammer,-13.825398545466905
fraction,-13.807406404881114
contac,-13.797722898847342
spaced,-13.797077085577222
git,-13.789199862920794
lesson,-13.776394376830964
bug,-13.772265001532332
flag,-13.763047320851886
expectative,-13.710245433750572
valet,-13.703051031017683
featuresi,-13.684817433699454
facebooktwitter,-13.648093206069943
avail,-13.63585306387443
usedthere,-13.605182885548201
closing,-13.585329274885991
express,-13.58181489991094
homework,-13.559332443630554
needkeep,-13.523892313881342
lastly,-13.522921136548806
expression,-13.517274434786192
chucking,-13.51076910138204
inquiring,-13.508601198305959
supervisors,-13.508142834268048
calibration,-13.481182673289698
blow,-13.464980388914231
opposite,-13.447539644885312
cameraas,-13.444820615833445
island,-13.440675615096334
whoa,-13.438801371539531
washers,-13.436469461599305
september,-13.435506561428594
defectivedo,-13.415625467702526
ala,-13.412640822398307
navigating,-13.406023596231607
reviewers,-13.397030680972486
fuzz,-13.39218357364636
gestures,-13.39209059255472
prie,-13.387140176684538
occasion,-13.375690767392603
mad,-13.359775439602705
uno,-13.35808808003279
frequently,-13.33883426663887
theyd,-13.3253386257291
solidly,-13.310852794483926
minorversion,-13.271669422006074
heartrate,-13.263587154833516
deserves,-13.260615199945487
buried,-13.255652041413356
fallowed,-13.239522367039283
resorted,-13.238941874755502
thatdesignthe,-13.227244055747326
crispthe,-13.213060049935118
moreyes,-13.20441994111254
smoothlysaying,-13.202248459948354
nonintuitive,-13.18775772624852
happen,-13.156799760351891
address,-13.153363286192368
crop,-13.144302855782588
keypoints,-13.115583345844662
ballsif,-13.10375552198686
debated,-13.084357154562062
sam,-13.070265489221974
hated,-13.068731837585815
logtag,-13.06722855160961
migratei,-13.055347696421702
thanking,-13.047544009415338
hopes,-13.042484144462119
brothers,-13.031183450705345
powerup,-13.02454019177589
dontthink,-13.021890977151848
remotely,-12.996022426829876
effortless,-12.993185126622873
interior,-12.973356963774632
enjoyable,-12.968568052309267
leaned,-12.964145547817457
hsdpa,-12.953475137323123
barely,-12.940184509619275
essentialsit,-12.907754153711828
answer,-12.90506768560105
accept,-12.898788179113449
boom,-12.89181287151058
harm,-12.880376533665544
griping,-12.876610074339947
tasks,-12.86991755393221
recomended,-12.837081093852827
aftermarket,-12.819072501116715
contacts,-12.812040657039406
sentience,-12.802399320479868
cheek,-12.799847644044887
sketch,-12.796025347736494
refurbish,-12.773375910764008
advantages,-12.762369024585642
thisplaying,-12.751723811738222
forgive,-12.745253255618382
changed,-12.728749042443074
trash,-12.71390350236768
unread,-12.713267396599973
clone,-12.710298576696005
upsetting,-12.693199447349535
everthing,-12.682471923037838
pricesfor,-12.679297997012965
discount,-12.675288206938985
performs,-12.672174329119875
continuously,-12.657622102653223
admittedly,-12.653048091115659
false,-12.649983343201002
reality,-12.64476853586888
hahathen,-12.626351985119232
